# Number of peaks = 3
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# G	 104.0	 0.1095 	 48.81	 4.318
# G	 188.7	 0.05379 	 83.16	 7.261
# G	 294.2	 0.02182 	 117.9	 4.491
# 
# T	dTG	pksum	pk1	pk2	pk3
+2.3400E+02 +5.6921E-02 +5.6889E-02 +9.0835E-05 +3.9990E-02 +1.6808E-02
+2.3700E+02 +5.5933E-02 +5.5704E-02 +6.5226E-05 +3.8399E-02 +1.7240E-02
+2.4000E+02 +5.4909E-02 +5.4482E-02 +4.6484E-05 +3.6776E-02 +1.7659E-02
+2.4200E+02 +5.3890E-02 +5.3650E-02 +3.6932E-05 +3.5681E-02 +1.7932E-02
+2.4500E+02 +5.2798E-02 +5.2380E-02 +2.5991E-05 +3.4025E-02 +1.8329E-02
+2.4800E+02 +5.1677E-02 +5.1090E-02 +1.8154E-05 +3.2361E-02 +1.8710E-02
+2.5100E+02 +5.0531E-02 +4.9787E-02 +1.2584E-05 +3.0699E-02 +1.9075E-02
+2.5300E+02 +4.9399E-02 +4.8914E-02 +9.8152E-06 +2.9596E-02 +1.9308E-02
+2.5600E+02 +4.8215E-02 +4.7603E-02 +6.7187E-06 +2.7954E-02 +1.9642E-02
+2.5900E+02 +4.7020E-02 +4.6295E-02 +4.5645E-06 +2.6335E-02 +1.9956E-02
+2.6200E+02 +4.5818E-02 +4.4997E-02 +3.0777E-06 +2.4745E-02 +2.0248E-02
+2.6400E+02 +4.4647E-02 +4.4138E-02 +2.3566E-06 +2.3704E-02 +2.0431E-02
+2.6700E+02 +4.3446E-02 +4.2864E-02 +1.5691E-06 +2.2177E-02 +2.0686E-02
+2.7000E+02 +4.2253E-02 +4.1612E-02 +1.0369E-06 +2.0694E-02 +2.0917E-02
+2.7300E+02 +4.1073E-02 +4.0383E-02 +6.8001E-07 +1.9260E-02 +2.1123E-02
+2.7600E+02 +3.9907E-02 +3.9182E-02 +4.4262E-07 +1.7878E-02 +2.1304E-02
+2.7900E+02 +3.8757E-02 +3.8011E-02 +2.8593E-07 +1.6553E-02 +2.1458E-02
+2.8100E+02 +3.7656E-02 +3.7248E-02 +2.1278E-07 +1.5702E-02 +2.1546E-02
+2.8400E+02 +3.6550E-02 +3.6130E-02 +1.3574E-07 +1.4475E-02 +2.1655E-02
+2.8700E+02 +3.5469E-02 +3.5046E-02 +8.5937E-08 +1.3309E-02 +2.1737E-02
+2.8900E+02 +3.4440E-02 +3.4342E-02 +6.3098E-08 +1.2566E-02 +2.1776E-02
