# Number of peaks = 8
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# L	 47.31	 6020.0 	 0.07428	 697.9
# L	 47.44	 2970.0 	 0.0695	 321.9
# L	 56.13	 3130.0 	 0.0782	 383.5
# L	 56.28	 1670.0 	 0.07735	 202.3
# L	 69.13	 632.0 	 0.09931	 98.08
# L	 69.33	 340.0 	 0.09969	 52.96
# L	 76.37	 972.0 	 0.0974	 144.4
# L	 76.6	 553.0 	 0.09849	 82.74
# 
# 2theta	I	pksum	pk1	pk2	pk3	pk4	pk5	pk6	pk7	pk8
+4.1600E+01 +3.1115E+01 +4.0076E-01 +2.5502E-01 +1.0531E-01 +2.2680E-02 +1.1587E-02 +2.0558E-03 +1.0981E-03 +1.9066E-03 +1.0948E-03
+4.1630E+01 +1.8534E+01 +4.0470E-01 +2.5773E-01 +1.0640E-01 +2.2774E-02 +1.1634E-02 +2.0603E-03 +1.1005E-03 +1.9099E-03 +1.0966E-03
+4.1660E+01 +8.6540E+00 +4.0871E-01 +2.6047E-01 +1.0751E-01 +2.2868E-02 +1.1682E-02 +2.0648E-03 +1.1029E-03 +1.9132E-03 +1.0985E-03
+4.1690E+01 +1.4975E+01 +4.1278E-01 +2.6326E-01 +1.0863E-01 +2.2963E-02 +1.1730E-02 +2.0693E-03 +1.1053E-03 +1.9165E-03 +1.1004E-03
+4.1720E+01 +2.5794E+01 +4.1692E-01 +2.6610E-01 +1.0978E-01 +2.3059E-02 +1.1779E-02 +2.0738E-03 +1.1077E-03 +1.9198E-03 +1.1023E-03
+4.1750E+01 +2.4014E+01 +4.2112E-01 +2.6898E-01 +1.1094E-01 +2.3155E-02 +1.1827E-02 +2.0784E-03 +1.1101E-03 +1.9231E-03 +1.1042E-03
+4.1780E+01 +1.7735E+01 +4.2538E-01 +2.7191E-01 +1.1212E-01 +2.3252E-02 +1.1876E-02 +2.0829E-03 +1.1125E-03 +1.9265E-03 +1.1061E-03
+4.1810E+01 +1.9555E+01 +4.2972E-01 +2.7488E-01 +1.1332E-01 +2.3350E-02 +1.1926E-02 +2.0875E-03 +1.1150E-03 +1.9298E-03 +1.1080E-03
+4.1840E+01 +1.2374E+01 +4.3412E-01 +2.7791E-01 +1.1454E-01 +2.3448E-02 +1.1975E-02 +2.0921E-03 +1.1174E-03 +1.9332E-03 +1.1099E-03
+4.1870E+01 +6.0940E+00 +4.3859E-01 +2.8098E-01 +1.1577E-01 +2.3547E-02 +1.2025E-02 +2.0967E-03 +1.1198E-03 +1.9365E-03 +1.1119E-03
+4.1900E+01 +1.7813E+01 +4.4314E-01 +2.8411E-01 +1.1703E-01 +2.3646E-02 +1.2075E-02 +2.1013E-03 +1.1223E-03 +1.9399E-03 +1.1138E-03
+4.1930E+01 +2.2334E+01 +4.4776E-01 +2.8729E-01 +1.1831E-01 +2.3746E-02 +1.2126E-02 +2.1060E-03 +1.1247E-03 +1.9433E-03 +1.1157E-03
+4.1960E+01 +2.3254E+01 +4.5246E-01 +2.9052E-01 +1.1961E-01 +2.3847E-02 +1.2177E-02 +2.1106E-03 +1.1272E-03 +1.9467E-03 +1.1176E-03
+4.1990E+01 +1.6973E+01 +4.5723E-01 +2.9381E-01 +1.2093E-01 +2.3948E-02 +1.2228E-02 +2.1153E-03 +1.1297E-03 +1.9501E-03 +1.1196E-03
+4.2020E+01 +2.2392E+01 +4.6209E-01 +2.9716E-01 +1.2227E-01 +2.4050E-02 +1.2279E-02 +2.1200E-03 +1.1322E-03 +1.9535E-03 +1.1215E-03
+4.2050E+01 +9.8140E+00 +4.6702E-01 +3.0056E-01 +1.2364E-01 +2.4153E-02 +1.2331E-02 +2.1247E-03 +1.1347E-03 +1.9569E-03 +1.1235E-03
+4.2080E+01 +8.9330E+00 +4.7204E-01 +3.0402E-01 +1.2503E-01 +2.4256E-02 +1.2383E-02 +2.1294E-03 +1.1372E-03 +1.9603E-03 +1.1254E-03
+4.2110E+01 +2.8752E+01 +4.7714E-01 +3.0754E-01 +1.2644E-01 +2.4360E-02 +1.2436E-02 +2.1341E-03 +1.1397E-03 +1.9638E-03 +1.1274E-03
+4.2140E+01 +1.0772E+01 +4.8233E-01 +3.1112E-01 +1.2788E-01 +2.4465E-02 +1.2489E-02 +2.1389E-03 +1.1422E-03 +1.9672E-03 +1.1294E-03
+4.2170E+01 +2.2493E+01 +4.8761E-01 +3.1476E-01 +1.2934E-01 +2.4570E-02 +1.2542E-02 +2.1436E-03 +1.1447E-03 +1.9707E-03 +1.1313E-03
+4.2200E+01 +1.4413E+01 +4.9297E-01 +3.1847E-01 +1.3083E-01 +2.4676E-02 +1.2595E-02 +2.1484E-03 +1.1472E-03 +1.9741E-03 +1.1333E-03
+4.2230E+01 +3.2432E+01 +4.9843E-01 +3.2225E-01 +1.3234E-01 +2.4783E-02 +1.2649E-02 +2.1532E-03 +1.1498E-03 +1.9776E-03 +1.1353E-03
+4.2260E+01 +2.7051E+01 +5.0399E-01 +3.2609E-01 +1.3388E-01 +2.4890E-02 +1.2703E-02 +2.1580E-03 +1.1523E-03 +1.9811E-03 +1.1373E-03
+4.2290E+01 +1.9873E+01 +5.0964E-01 +3.3000E-01 +1.3544E-01 +2.4998E-02 +1.2758E-02 +2.1629E-03 +1.1549E-03 +1.9846E-03 +1.1392E-03
+4.2320E+01 +1.2692E+01 +5.1539E-01 +3.3399E-01 +1.3703E-01 +2.5107E-02 +1.2813E-02 +2.1677E-03 +1.1574E-03 +1.9881E-03 +1.1412E-03
+4.2350E+01 +1.9011E+01 +5.2125E-01 +3.3804E-01 +1.3866E-01 +2.5216E-02 +1.2868E-02 +2.1726E-03 +1.1600E-03 +1.9916E-03 +1.1432E-03
+4.2380E+01 +2.3531E+01 +5.2721E-01 +3.4217E-01 +1.4031E-01 +2.5327E-02 +1.2924E-02 +2.1774E-03 +1.1626E-03 +1.9951E-03 +1.1452E-03
+4.2410E+01 +2.7152E+01 +5.3327E-01 +3.4638E-01 +1.4199E-01 +2.5438E-02 +1.2980E-02 +2.1823E-03 +1.1652E-03 +1.9986E-03 +1.1473E-03
+4.2440E+01 +1.8172E+01 +5.3945E-01 +3.5066E-01 +1.4370E-01 +2.5549E-02 +1.3036E-02 +2.1872E-03 +1.1678E-03 +2.0021E-03 +1.1493E-03
+4.2470E+01 +8.2910E+00 +5.4573E-01 +3.5502E-01 +1.4544E-01 +2.5662E-02 +1.3093E-02 +2.1922E-03 +1.1704E-03 +2.0057E-03 +1.1513E-03
+4.2500E+01 +2.7212E+01 +5.5214E-01 +3.5947E-01 +1.4721E-01 +2.5775E-02 +1.3150E-02 +2.1971E-03 +1.1730E-03 +2.0092E-03 +1.1533E-03
+4.2530E+01 +2.8132E+01 +5.5866E-01 +3.6400E-01 +1.4902E-01 +2.5889E-02 +1.3207E-02 +2.2021E-03 +1.1757E-03 +2.0128E-03 +1.1554E-03
