# XRD pattern of silicon standard
#
#2theta	Intensity
38.57	119.908
38.6	104.627
38.63	100.147
38.66	103.767
38.69	113.688
38.72	114.607
38.75	113.726
38.78	119.146
38.81	110.167
38.84	109.286
38.87	115.606
38.9	112.925
38.93	120.147
38.96	123.766
38.99	111.185
39.02	113.005
39.05	113.026
39.08	119.346
39.11	113.065
39.14	115.784
39.17	120.304
39.2	108.625
39.23	111.345
39.26	106.864
39.29	113.185
39.32	115.904
39.35	115.024
39.38	115.043
39.41	115.964
39.44	124.084
39.47	118.703
39.5	118.723
39.53	123.243
39.56	110.663
39.59	118.783
39.62	104.403
39.65	120.623
39.68	122.443
39.71	114.363
39.74	107.182
39.77	109.903
39.8	114.422
39.83	109.042
39.86	122.561
39.89	115.381
39.92	113.602
39.95	114.522
39.98	116.343
40.01	119.062
40.04	118.181
40.07	118.201
40.1	104.721
40.13	120.941
40.16	107.461
40.19	116.481
40.22	106.6
40.25	103.021
40.28	114.74
40.31	120.16
40.34	123.781
40.37	116.6
40.4	121.12
40.43	115.739
40.46	127.459
40.49	119.38
40.52	134.7
40.55	120.319
40.58	114.939
40.61	114.06
40.64	103.279
40.67	109.599
40.7	114.118
40.73	109.639
40.76	120.458
40.79	116.878
40.82	123.197
40.85	115.118
40.88	124.138
40.91	121.458
40.94	100.777
40.97	110.698
41	117.017
41.03	100.837
41.06	116.158
41.09	116.178
41.12	124.297
41.15	116.216
41.18	109.936
41.21	117.157
41.24	106.377
41.27	114.496
41.3	119.016
41.33	103.737
41.36	123.556
41.39	123.576
41.42	98.3956
41.45	116.416
41.48	123.636
41.51	120.955
41.54	111.975
41.57	123.695
41.6	129.115
41.63	116.534
41.66	106.654
41.69	112.975
41.72	123.794
41.75	122.014
41.78	115.735
41.81	117.555
41.84	110.374
41.87	104.094
41.9	115.813
41.93	120.334
41.96	121.254
41.99	114.973
42.02	120.392
42.05	107.814
42.08	106.933
42.11	126.752
42.14	108.772
42.17	120.493
42.2	112.413
42.23	130.432
42.26	125.051
42.29	117.873
42.32	110.692
42.35	117.011
42.38	121.531
42.41	125.152
42.44	116.172
42.47	106.291
42.5	125.212
42.53	126.132
42.56	125.251
42.59	112.671
42.62	124.39
42.65	116.311
42.68	117.231
42.71	108.25
42.74	115.47
42.77	111.891
42.8	111.01
42.83	111.93
42.86	116.451
42.89	120.07
42.92	121.889
42.95	116.509
42.98	109.328
43.01	100.35
43.04	111.169
43.07	118.388
43.1	124.708
43.13	127.429
43.16	104.949
43.19	117.568
43.22	109.488
43.25	113.108
43.28	113.128
43.31	123.047
